warehouse_id,address_1,address_2,city,state,zipcode,price_per_skid,capacity,size,storage_pref,lowest_temp,highest_temp,owner_id,average_rating,number_of_ratings,,,,,,,state2,whcount
67,3011 E Broadway Ave,0,Phoenix,Arizona,85040,0.257753425,78076,250582,dry,75,75,10712,4,25,,5,5,Arizona,5,,Arizona,5
200,1328 W San Pedro St,0,Gilbert,Arizona,85233,0.315616438,1719,16556,dry,75,75,15365,4,21,,5,0,,,,California,78
260,1634 N 19th Ave,0,Phoenix,Arizona,85009,0.594410959,1313,12648,cooler,34,75,16884,4,12,,5,0,,,,Colorado,4
294,414 S Grand St,0,Mesa,Arizona,85210,0.384,830,4000,dry,75,75,27020,4,22,,5,0,,,,Delaware,2
295,401 N 37th Dr,0,Phoenix,Arizona,85009,0.315616438,14208,34200,climate_controlled,55,75,14904,4,18,,5,0,,,,Florida,53
8,1001 Doubleday Ave,0,Ontario,California,91761,0.526027397,163316,393118,dry,75,75,21530,4,27,,78,78,California,78,,Georgia,7
23,2400 Celsius Ave,0,Oxnard,California,93030,0.510246575,8684,27872,dry,75,75,11136,4,20,,78,0,,,,Hawaii,4
25,3233 E Mission Oaks Blvd,0,Camarillo,California,93012,0.43660274,191605,461210,climate_controlled,55,75,19974,4,26,,78,0,,,,Idaho,1
47,2361-2399 E Pacifica Pl,0,Rancho Dominguez,California,90220,0.452383562,47653,152943,climate_controlled,55,75,23670,4,23,,78,0,,,,Illinois,19
49,1580 W Carson St,0,Long Beach,California,90810,0.604931507,18190,43787,climate_controlled,55,75,11384,4,27,,78,0,,,,Iowa,1
54,2364 E Sturgis Rd,0,Oxnard,California,93030,0.457643836,1876,18064,climate_controlled,55,75,19138,4,24,,78,0,,,,Kentucky,2
57,701 Del Norte Blvd,0,Oxnard,California,93030,0.468164384,52143,125514,dry,75,75,31492,4.5,14,,78,0,,,,Louisiana,1
63,1024 Santee St,0,Los Angeles,California,90015,0.526027397,15785,50664,dry,75,75,5565,4,16,,78,0,,,,Maryland,6
68,12862 Garden Grove Blvd,0,Garden Grove,California,92843,0.773260274,5579,26863,cooler,34,75,17618,4,19,,78,0,,,,Massachusetts,5
116,11626-11632 Goldring Rd,0,Arcadia,California,91006,0.604931507,830,8000,climate_controlled,55,75,31492,4,14,,78,0,,,,Michigan,7
125,7737-7741 Burnet Ave,0,Van Nuys,California,91405,0.405041096,4517,14500,climate_controlled,55,75,26240,4,17,,78,0,,,,Nebraska,1
136,2815-2819 Southwest Dr,0,Los Angeles,California,90043,0.568109589,674,6497,climate_controlled,55,75,1401,4,23,,78,0,,,,Nevada,6
161,41203-41215 Albrae St,0,Fremont,California,94538,0.657534247,7602,24400,climate_controlled,55,75,37094,4,23,,78,0,,,,New Hampshire,2
170,1766 Junction Ave,0,San Jose,California,95112,0.515506849,11106,53471,climate_controlled,55,75,931,4,20,,78,0,,,,New Jersey,20
193,17130 Racoon Ave,0,Adelanto,California,92301,0.263013699,29600,95000,dry,75,75,36491,4,21,,78,0,,,,New York,21
196,156 W Slauson Ave,0,Los Angeles,California,90003,0.699616438,1807,17400,climate_controlled,55,75,574,4,27,,78,0,,,,North Carolina,14
202,11650 Mission Park Dr,0,Rancho Cucamonga,California,91730,0.710136986,6885,33148,dry,75,75,4431,4,19,,78,0,,,,North Dakota,1
205,17352 Derian Ave,0,Irvine,California,92614,0.415561644,41298,132545,climate_controlled,55,75,37401,4.5,26,,78,0,,,,Ohio,9
206,425 E 58th St,0,Los Angeles,California,90011,0.499726027,4085,19668,dry,75,75,12711,4,17,,78,0,,,,Oklahoma,2
208,20551 Corsair Blvd,0,Hayward,California,94545,0.473424658,4227,40700,climate_controlled,55,75,13751,4,19,,78,0,,,,Oregon,7
210,1920-1930 E 15th St,0,Los Angeles,California,90021,0.420821918,7354,35408,climate_controlled,55,75,32106,4,23,,78,0,,,,Pennsylvania,11
213,384-390 S Lemon Ave,0,Walnut,California,91789,0.657534247,2093,6720,climate_controlled,55,75,25138,4,15,,78,0,,,,Rhode Island,1
216,1634 Long Beach Ave,0,Los Angeles,California,90021,0.657534247,1869,18000,climate_controlled,55,75,1749,4,24,,78,0,,,,South Carolina,6
217,524 Malloy Ct,0,Corona,California,92880,0.552328767,2592,8320,cooler,34,75,24368,4,20,,78,0,,,,Tennessee,4
220,15310-15332 E Valley Blvd,0,City Of Industry,California,91746,0.604931507,6423,61849,climate_controlled,55,75,33546,4,22,,78,0,,,,Texas,47
222,6195 Maywood Ave,0,Huntington Park,California,90255,0.657534247,2042,9835,dry,75,75,17744,4,32,,78,0,,,,Utah,2
229,1221 Avenida Acaso,0,Camarillo,California,93012,0.578630137,5305,17027,climate_controlled,55,75,15078,4,21,,78,0,,,,Virginia,10
230,2041-2065 Commerce Ave,0,Concord,California,94520,0.604931507,4985,24000,dry,75,75,39939,4,20,,78,0,,,,Washington,3
233,740 Market Richmond Ca,0,Richmond,California,94801,0.789041096,3738,12000,climate_controlled,55,75,26463,4.5,17,,78,0,,,,West Virginia,1
234,18740 Oxnard St,0,Tarzana,California,91356,0.762739726,6515,31366,climate_controlled,55,75,19545,4,25,,78,0,,,,,
236,161 Quantico Ave,0,Bakersfield,California,93307,0.336657534,342,3300,dry,75,75,29110,4.5,19,,78,0,,,,,
237,1715 Wall St,0,Los Angeles,California,90015,0.736438356,4050,13000,climate_controlled,55,75,32760,4,18,,78,0,,,,,
239,6 Mason,0,Irvine,California,92618,0.657534247,12581,30284,climate_controlled,55,75,23830,4,28,,78,0,,,,,
245,1359 E Washington Blvd,0,Los Angeles,California,90021,0.394520548,1557,5000,dry,75,75,23830,4,11,,78,0,,,,,
246,1355 E Washington Blvd,0,Los Angeles,California,90021,0.394520548,1165,5610,climate_controlled,55,75,16327,4.5,20,,78,0,,,,,
247,17521 Railroad St,0,City of Industry,California,91748,0.736438356,12392,29829,dry,75,75,18836,4,16,,78,0,,,,,
248,1121 Wakeham Ave,0,Santa Ana,California,92705,0.657534247,1419,13670,cooler,34,75,11384,4.5,19,,78,0,,,,,
249,16031 Carmenita Rd,0,Cerritos,California,90703,0.515506849,8759,28112,climate_controlled,55,75,1178,4,19,,78,0,,,,,
253,3802 Main St,0,Chula Vista,California,91911,0.552328767,4941,15860,climate_controlled,55,75,31315,4,21,,78,0,,,,,
257,7631-7637 Haskell Ave,0,Van Nuys,California,91406,0.573369863,12395,39783,dry,75,75,17630,4,16,,78,0,,,,,
261,6201 Warehouse Way,0,Sacramento,California,95826,0.341917808,5296,17000,dry,75,75,28280,4,12,,78,0,,,,,
271,440 S Alameda St,0,Los Angeles,California,90013,0.657534247,2783,6700,dry,75,75,11660,4,27,,78,0,,,,,
272,19420 Creek Rd,0,Shafter,California,93314,0.394520548,747,7200,climate_controlled,55,75,2897,4.5,14,,78,0,,,,,
273,2425 E 30th St,0,Vernon,California,90058,0.473424658,23135,74252,dry,75,75,30717,4,24,,78,0,,,,,
274,849-855 29th St,0,Oakland,California,94608,0.657534247,3281,15800,dry,75,75,10733,4,22,,78,0,,,,,
275,6407-6419 Alondra Blvd,0,Paramount,California,90723,0.483945205,6824,16428,climate_controlled,55,75,26171,4,25,,78,0,,,,,
276,7790-7820 Bell Rd,0,Windsor,California,95492,0.657534247,2039,19640,climate_controlled,55,75,11880,4,19,,78,0,,,,,
280,3227 Producer Way,0,Pomona,California,91768,0.473424658,3636,35010,climate_controlled,55,75,24368,4,19,,78,0,,,,,
281,6000 Schirra Ct,0,Bakersfield,California,93313,0.452383562,934,3000,cooler,34,75,4516,4,13,,78,0,,,,,
282,2890 E 54th St,0,Vernon,California,90058,0.415561644,23883,114980,frozen,0,75,33546,4,37,,78,0,,,,,
284,13100 Telfair Ave,0,Sylmar,California,91342,0.762739726,12390,119300,climate_controlled,55,75,30108,4,26,,78,0,,,,,
285,1115 E 12th St,0,Los Angeles,California,90021,0.499726027,1346,4320,dry,75,75,13658,4,36,,78,0,,,,,
289,2021 E Via Burton St,0,Fullerton,California,92831,0.515506849,8412,27000,dry,75,75,38779,4,18,,78,0,,,,,
290,9600 Cozycroft Ave,0,Chatsworth,California,91311,0.710136986,582,2805,climate_controlled,55,75,20656,4,12,,78,0,,,,,
298,380 N Palm St,0,Brea,California,92821,0.604931507,2692,12960,climate_controlled,55,75,7541,4,23,,78,0,,,,,
308,125-137 E 33rd St,0,Los Angeles,California,90011,0.499726027,5193,50000,climate_controlled,55,75,14557,4,18,,78,0,,,,,
310,3731 W Richert Ave,0,Fresno,California,93722,0.315616438,1038,5000,climate_controlled,55,75,34188,4.5,21,,78,0,,,,,
325,2306 La Mirada Dr,0,Vista,California,92081,0.547068493,1255,4028,dry,75,75,17630,4,21,,78,0,,,,,
326,3602 Mars Way,0,Tracy,California,95377,0.447123288,6281,30240,climate_controlled,55,75,20449,4,20,,78,0,,,,,
327,1001-1047 Pecten Ct,0,Milpitas,California,95035,0.683835616,10025,24132,climate_controlled,55,75,19021,4,20,,78,0,,,,,
328,894-902 Commercial St,0,San Jose,California,95112,0.604931507,2824,27200,dry,75,75,11644,4,14,,78,0,,,,,
332,9400-9416 Burtis St,0,South Gate,California,90280,0.510246575,3274,31525,climate_controlled,55,75,1464,4,22,,78,0,,,,,
336,1201 Pennsylvania Ave,0,Richmond,California,94801,0.789041096,1152,11100,frozen,0,75,10857,4,39,,78,0,,,,,
337,2711-2715 S Main St,0,Los Angeles,California,90007,0.473424658,12463,40000,climate_controlled,55,75,10095,4,21,,78,0,,,,,
340,17376 Newhope St,0,Fountain Valley,California,92708,0.604931507,809,7790,climate_controlled,55,75,931,4,18,,78,0,,,,,
341,5220 4th St,0,Irwindale,California,91706,0.604931507,8973,28800,climate_controlled,55,75,15365,4,17,,78,0,,,,,
345,2420 Mohawk St,0,Bakersfield,California,93308,0.499726027,2090,6710,climate_controlled,55,75,4516,4.5,26,,78,0,,,,,
346,5318 Alhambra Ave,0,Los Angeles,California,90032,0.620712329,1218,5864,climate_controlled,55,75,25456,4,36,,78,0,,,,,
348,2851 E White Star Ave,0,Anaheim,California,92806,0.578630137,1033,9948,dry,75,75,17744,4,17,,78,0,,,,,
349,17145 S Margay Ave,0,Carson,California,90746,0.499726027,49935,160266,climate_controlled,55,75,29023,4,27,,78,0,,,,,
350,1511 Francisco St,0,Torrance,California,90501,0.552328767,8062,38815,climate_controlled,55,75,5595,4,22,,78,0,,,,,
355,436 N Canal St,0,South San Francisco,California,94080,0.789041096,16617,40000,climate_controlled,55,75,25194,4,21,,78,0,,,,,
357,8511 Canoga Ave,0,Canoga Park,California,91304,0.631232877,3762,12076,climate_controlled,55,75,16016,4,24,,78,0,,,,,
358,1462 Tanforan Ave,0,Woodland,California,95776,0.420821918,7976,38400,climate_controlled,55,75,12393,4,22,,78,0,,,,,
359,3543 Old Conejo Rd,0,Newbury Park,California,91320,0.736438356,8954,21554,dry,75,75,6257,4,29,,78,0,,,,,
360,831 Meridian St,0,Irwindale,California,91010,0.604931507,584,5625,climate_controlled,55,75,5920,4,15,,78,0,,,,,
369,11290 Trade Center Dr,0,Rancho Cordova,California,95742,0.289315068,3614,11600,dry,75,75,10733,4,18,,78,0,,,,,
377,360 Bernoulli Cir,0,Oxnard,California,93030,0.43660274,4288,13765,climate_controlled,55,75,13736,4,29,,78,0,,,,,
118,21055 Westgate Rd,0,Golden,Colorado,80403,0.241972603,9569,46071,dry,75,75,38892,4,14,,4,4,Colorado,4,,,
143,3988-3990 Ulster St,0,Denver,Colorado,80207,0.552328767,3323,8000,climate_controlled,55,75,19021,4,26,,4,0,,,,,
211,9085 Marshall Ct,0,Westminster,Colorado,80031,0.394520548,17393,41868,climate_controlled,55,75,17618,4,20,,4,0,,,,,
279,10235 S Progress Way,0,Parker,Colorado,80134,0.604931507,5089,12250,climate_controlled,55,75,27952,4,26,,4,0,,,,,
58,1069-1085 Connecticut Ave,0,Bridgeport,Connecticut,6607,0.047342466,22513,216765,climate_controlled,55,75,13258,4,18,,4,0,,,,,
134,30 Pocono Rd,0,Brookfield,Connecticut,6804,0.294575342,4652,22400,climate_controlled,55,75,15914,4.5,21,,4,0,,,,,
157,314 Wilson Ave,0,Norwalk,Connecticut,6854,0.547068493,17136,55000,climate_controlled,55,75,23670,4,28,,4,0,,,,,
371,500 Captain Neville Dr,0,Waterbury,Connecticut,6705,0.210410959,23160,55750,climate_controlled,55,75,14352,4,16,,4,0,,,,,
80,300 Gabor Dr,0,Newark,Delaware,19713,0.352438356,3323,32000,climate_controlled,55,75,10853,4,27,,2,2,Delaware,2,,,
105,60 Starlifter Ave,0,Dover,Delaware,19901,0.184109589,75527,242400,climate_controlled,55,75,27963,4,31,,2,0,,,,,
18,3200 NW 67th Ave,0,Miami,Florida,33166,0.457643836,17522,168716,dry,75,75,1525,4,15,,53,53,Florida,53,,,
33,2041 NW 15th Ave,0,Pompano Beach,Florida,33069,0.526027397,16380,39430,climate_controlled,55,75,37017,4,15,,53,0,,,,,
34,4140 SW 30th Ave,0,Fort Lauderdale,Florida,33312,0.394520548,14021,135000,climate_controlled,55,75,21451,4,23,,53,0,,,,,
37,1110 NE 8th Ave,0,Fort Lauderdale,Florida,33304,0.657534247,12338,29700,dry,75,75,31764,4,22,,53,0,,,,,
43,7121-7125 NW 6th Ave,0,Miami,Florida,33150,0.43660274,5215,16740,dry,75,75,33355,4,25,,53,0,,,,,
44,51 Hypoluxo Rd,0,Lantana,Florida,33462,0.347178082,11711,56382,dry,75,75,1279,4.5,23,,53,0,,,,,
55,3850 W 108th St,0,Hialeah,Florida,33018,0.315616438,78518,252000,climate_controlled,55,75,22473,4,23,,53,0,,,,,
61,2310 S Dock St,0,Palmetto,Florida,34221,0.220931507,20772,50000,climate_controlled,55,75,19974,4,20,,53,0,,,,,
62,7620-7634 NW 6th Ave,0,Boca Raton,Florida,33487,0.657534247,5876,56580,dry,75,75,27113,4,20,,53,0,,,,,
75,Old Tampa Hwy,0,Lakeland,Florida,33811,0.220931507,373896,900000,climate_controlled,55,75,29271,4,24,,53,0,,,,,
87,7400 US Highway 19,0,New Port Richey,Florida,34652,0.43660274,8214,19774,dry,75,75,11880,4,20,,53,0,,,,,
88,7801 NW 29th St,0,Miami,Florida,33122,0.746958904,741,7135,frozen,0,75,36491,4,51,,53,0,,,,,
92,601 N Congress Ave,0,Delray Beach,Florida,33445,0.789041096,6198,59682,climate_controlled,55,75,34342,4,32,,53,0,,,,,
94,4427 Pet Ln,0,Lutz,Florida,33559,0.341917808,11906,57320,cooler,34,75,22001,4.5,21,,53,0,,,,,
101,1020 Holland Dr,0,Boca Raton,Florida,33487,0.789041096,11344,36410,climate_controlled,55,75,12711,4,27,,53,0,,,,,
117,6101 45th St N,0,Saint Petersburg,Florida,33714,0.263013699,24926,80000,dry,75,75,25843,4,22,,53,0,,,,,
120,2540 NW 74th St,0,Miami,Florida,33147,0.568109589,1350,13000,climate_controlled,55,75,16330,4,21,,53,0,,,,,
122,7790 NW 32nd St,0,Miami,Florida,33122,0.699616438,1329,6400,dry,75,75,10095,4,16,,53,0,,,,,
149,3830 W 104th St,0,Hialeah,Florida,33018,0.315616438,623160,2000000,cooler,34,75,28659,4,19,,53,0,,,,,
151,1440 SW 28th Ave,0,Pompano Beach,Florida,33069,0.43660274,10674,25695,climate_controlled,55,75,19138,4,18,,53,0,,,,,
160,2335 NW 107th Ave,0,Doral,Florida,33172,0.352438356,40935,394138,cooler,34,75,15365,4,21,,53,0,,,,,
166,2315 NW 107th Ave,0,Doral,Florida,33172,0.352438356,81870,394139,climate_controlled,55,75,18240,4,20,,53,0,,,,,
178,420 6th St,0,West Palm Beach,Florida,33401,0.583890411,1273,6130,dry,75,75,33115,4,19,,53,0,,,,,
198,6991-6995 NW 82nd Ave,0,Miami,Florida,33166,0.520767123,21248,102295,dry,75,75,28617,4,18,,53,0,,,,,
201,6855 US Hwy 41,0,Apollo Beach,Florida,33572,0.273534247,26795,86000,climate_controlled,55,75,14801,4,20,,53,0,,,,,
215,1151-1155 NW 159th Dr,0,Miami,Florida,33169,0.405041096,5014,12071,dry,75,75,31764,4,19,,53,0,,,,,
218,2910 NW 17th Ter,0,Oakland Park,Florida,33311,0.547068493,1468,7070,dry,75,75,15174,4,20,,53,0,,,,,
228,6457 Hazeltine National Dr,0,Orlando,Florida,32822,0.562849315,5296,51000,dry,75,75,23988,4,22,,53,0,,,,,
254,11820 Uradco Pl,0,San Antonio,Florida,33576,0.30509589,7270,35000,climate_controlled,55,75,14141,4,17,,53,0,,,,,
258,6121-6131 Anno Ave,0,Orlando,Florida,32809,0.294575342,8121,39100,cooler,34,75,25456,4.5,24,,53,0,,,,,
262,4501 E Columbus Dr,0,Tampa,Florida,33605,0.526027397,2513,12100,climate_controlled,55,75,13457,4,21,,53,0,,,,,
263,1205-1421 Hill Ave,0,Mangonia Park,Florida,33407,0.426082192,26719,64316,climate_controlled,55,75,30717,4,25,,53,0,,,,,
267,5081 SW 48th St,0,Davie,Florida,33314,0.615452055,4486,10800,climate_controlled,55,75,21102,4,13,,53,0,,,,,
269,1020 W Eau Gallie Blvd,0,Melbourne,Florida,32935,0.547068493,6895,22130,cooler,34,75,22367,4,19,,53,0,,,,,
278,1455 E 11th Ave,0,Hialeah,Florida,33010,0.33139726,6522,31400,dry,75,75,17298,4,22,,53,0,,,,,
286,1544 Market Cir,0,Port Charlotte,Florida,33953,0.310356164,3323,16000,climate_controlled,55,75,4431,4,28,,53,0,,,,,
287,3065 Fowler St,0,Fort Myers,Florida,33901,0.220931507,6926,16672,cooler,34,75,19336,4,18,,53,0,,,,,
288,9601 N Main St,0,Jacksonville,Florida,32218,0.220931507,30288,291625,cooler,34,75,1666,4,13,,53,0,,,,,
296,4664 Elevation Way,0,Fort Myers,Florida,33905,0.415561644,1278,12310,cooler,34,75,29235,4,15,,53,0,,,,,
297,10800 NW 106th St,0,Miami,Florida,33178,0.431342466,84101,269918,climate_controlled,55,75,16884,4,25,,53,0,,,,,
305,2727 Clydo Rd,0,Jacksonville,Florida,32207,0.278794521,10905,35000,climate_controlled,55,75,23666,4,15,,53,0,,,,,
315,2495-2501 W 80th St,0,Hialeah,Florida,33016,0.526027397,5770,13890,cooler,34,75,28327,4,19,,53,0,,,,,
316,1230 Commerce Ct,0,Sarasota,Florida,34243,0.394520548,207,2000,dry,75,75,10678,4,22,,53,0,,,,,
317,548 NE 42nd St,0,Fort Lauderdale,Florida,33334,0.526027397,2409,7732,dry,75,75,34752,4,17,,53,0,,,,,
319,12477 N 66th St,0,Largo,Florida,33773,0.604931507,2110,5080,climate_controlled,55,75,3147,4,16,,53,0,,,,,
321,5600-5660 NW 79th Ave,0,Miami,Florida,33166,0.683835616,5076,16292,cooler,34,75,22473,4,21,,53,0,,,,,
322,8570-8590 NW 56th St,0,Miami,Florida,33166,0.483945205,4985,24000,climate_controlled,55,75,4431,4,18,,53,0,,,,,
323,3560 Veronica S Shoemaker Blvd,0,Fort Myers,Florida,33916,0.247232877,7141,17190,climate_controlled,55,75,17618,3.5,14,,53,0,,,,,
334,4169 Electric Way,0,Port Charlotte,Florida,33980,0.415561644,1121,5400,climate_controlled,55,75,11099,4,18,,53,0,,,,,
361,670 W 20th St,0,Hialeah,Florida,33010,0.347178082,5338,17135,dry,75,75,32214,4,13,,53,0,,,,,
366,5602-5634 W Linebaugh Ave,0,Tampa,Florida,33624,0.33139726,3590,17284,climate_controlled,55,75,12667,4,24,,53,0,,,,,
372,5056-5066 NE 12th Ave,0,Oakland Park,Florida,33334,0.557589041,571,5500,climate_controlled,55,75,19729,4,21,,53,0,,,,,
378,10505-10545 NW 37th Ter,0,Miami,Florida,33178,0.515506849,1454,7000,climate_controlled,55,75,36950,4,28,,53,0,,,,,
85,110 W McCarter Rd,0,La Fayette,Georgia,30728,0.136767123,36454,117000,dry,75,75,9332,4,24,,7,7,Georgia,7,,,
131,1401 Hills Pl NW,0,Atlanta,Georgia,30318,0.284054795,13266,31934,dry,75,75,18214,4,18,,7,0,,,,,
227,450 S Cemetery St,0,Norcross,Georgia,30071,0.352438356,6480,15600,dry,75,75,37599,4.5,17,,7,0,,,,,
265,470 Woods Mill Rd,0,Gainesville,Georgia,30501,0.163068493,31875,102302,climate_controlled,55,75,27271,4,23,,7,0,,,,,
301,1017 Franke Industrial Dr,0,Augusta,Georgia,30909,0.352438356,2336,7500,climate_controlled,55,75,3223,4.5,17,,7,0,,,,,
338,2365 Monroe Dr,0,Gainesville,Georgia,30507,0.268273973,1495,7200,climate_controlled,55,75,16884,4,26,,7,0,,,,,
365,319 Rocking D Rd,0,Temple,Georgia,30179,0.226191781,5452,17500,cooler,34,75,34694,4,19,,7,0,,,,,
190,94-480 Akoki St,0,Waipahu,Hawaii,96797,0.683835616,3252,15656,climate_controlled,55,75,13181,4,20,,4,4,Hawaii,4,,,
250,401 Hookahi St,0,Wailuku,Hawaii,96793,0.710136986,2575,12397,dry,75,75,25693,4,18,,4,0,,,,,
299,279 Puuhale Rd,0,Honolulu,Hawaii,96819,0.710136986,997,2400,climate_controlled,55,75,23552,4,23,,4,0,,,,,
363,1808 Republican St,0,Honolulu,Hawaii,96819,0.789041096,4154,10000,climate_controlled,55,75,20342,4,28,,4,0,,,,,
214,2178 W Centurion Pl,0,Boise,Idaho,83709,0.347178082,1437,6922,dry,75,75,30108,4,23,,1,1,Idaho,1,,,
5,1900 N Austin Ave,0,Chicago,Illinois,60639,0.30509589,72702,700000,climate_controlled,55,75,33546,4,22,,19,19,Illinois,19,,,
71,450 E Bunker Ct,0,Vernon Hills,Illinois,60061,0.252493151,19694,63210,climate_controlled,55,75,22232,4,29,,19,0,,,,,
76,1231-1233 Naperville Dr,0,Romeoville,Illinois,60446,0.373479452,3140,30233,climate_controlled,55,75,30217,4,21,,19,0,,,,,
97,731 N 17th St,0,Saint Charles,Illinois,60174,0.347178082,22745,73000,climate_controlled,55,75,23084,4,23,,19,0,,,,,
103,750 N 17th St,0,Saint Charles,Illinois,60174,0.241972603,7893,19000,climate_controlled,55,75,29548,4.5,14,,19,0,,,,,
106,761 N 17th St,0,Saint Charles,Illinois,60174,0.368219178,16056,77300,climate_controlled,55,75,13603,4,23,,19,0,,,,,
111,580 Exchange Ct,0,Aurora,Illinois,60504,0.43660274,12504,30100,climate_controlled,55,75,2897,4,19,,19,0,,,,,
112,1010 W 35th St,0,Chicago,Illinois,60609,0.526027397,24926,240000,climate_controlled,55,75,16327,4,27,,19,0,,,,,
113,3501 Woodhead Dr,0,Northbrook,Illinois,60062,0.526027397,6007,19280,climate_controlled,55,75,27952,4,23,,19,0,,,,,
140,220 Lake Ave,0,Lake Villa,Illinois,60046,0.205150685,934,9000,climate_controlled,55,75,1666,4,17,,19,0,,,,,
162,14723 S Drexel Ave,0,Dolton,Illinois,60419,0.241972603,33650,162000,dry,75,75,4854,4,24,,19,0,,,,,
169,554 Anderson Dr,0,Romeoville,Illinois,60446,0.615452055,3738,12000,cooler,34,75,2897,4,17,,19,0,,,,,
259,914-926 Geneva Ct,0,Shorewood,Illinois,60404,0.394520548,5816,14000,dry,75,75,7883,4,21,,19,0,,,,,
270,2400 Hassell Rd,0,Hoffman Estates,Illinois,60169,0.394520548,7608,36630,dry,75,75,10678,4,16,,19,0,,,,,
293,1663-1683 S Mount Prospect Rd,0,Des Plaines,Illinois,60018,0.315616438,16202,52000,climate_controlled,55,75,12743,4,27,,19,0,,,,,
329,4573-4575 Wagon Wheel Rd,0,Roxana,Illinois,62087,0.263013699,2305,7400,climate_controlled,55,75,25843,4,28,,19,0,,,,,
351,464-480 Country Club Dr,0,Bensenville,Illinois,60106,0.373479452,12463,30000,climate_controlled,55,75,4854,4,22,,19,0,,,,,
353,9200 W 47th St,0,Brookfield,Illinois,60513,0.552328767,1503,4825,climate_controlled,55,75,36026,4.5,19,,19,0,,,,,
364,7535 Lincoln Ave,0,Skokie,Illinois,60076,0.405041096,1348,12980,climate_controlled,55,75,11998,4,24,,19,0,,,,,
95,1300 SE Little Beaver Dr,0,Grimes,Iowa,50111,0.194630137,45698,110000,climate_controlled,55,75,21245,4,16,,1,1,Iowa,1,,,
181,1150 W 151st St,0,Olathe,Kansas,66061,0.30509589,6292,20196,dry,75,75,32759,4,19,,1,0,,,,,
195,1510 Greendale Rd,0,Lexington,Kentucky,40511,0.263013699,50268,121000,dry,75,75,19931,4,21,,2,2,Kentucky,2,,,
307,1730 Russell St,0,Covington,Kentucky,41011,0.215671233,28004,67410,dry,75,75,15410,4,18,,2,0,,,,,
119,1861 Bayou Dinde Pass,0,Westlake,Louisiana,70669,0.526027397,4486,10800,dry,75,75,18836,4,26,,1,1,Louisiana,1,,,
10,750 Warren Ave,0,Portland,Maine,4103,0.33139726,8425,27040,climate_controlled,55,75,4061,4,24,,1,0,,,,,
64,1101 Hampton Park Blvd,0,Capitol Heights,Maryland,20743,0.362958904,27473,132260,climate_controlled,55,75,13880,4.5,26,,6,6,Maryland,6,,,
